group_id,n_rows,accepted,reason,c_value,slope,intercept,rmse_log,synthetic_rows,split
state_0.159|0.310|0.700|0.007|0.005|2.270|0.990|0.010|0.200|0.040|0.010|0.005|0.010|0.002|0.000|0.050|0.000|0.010|0.000|1203.000|3.400|938.000|30.000|0.000|2.000,30,False,rmse_too_high,13.75,-4512.906355268168,23491.300455106924,0.528985779613676,0,final_train
state_0.140|0.210|0.530|0.012|0.012|2.400|1.010|0.010|0.140|0.160|0.010|0.005|0.011|0.018|0.000|0.050|0.000|0.010|0.000|1203.000|6.000|908.000|6.000|873.000|2.000,30,False,rmse_too_high,15.75,-4157.554826676188,24580.563527639224,0.41227766545012345,0,final_train
state_0.140|0.250|0.550|0.010|0.009|2.440|1.030|0.010|0.180|0.130|0.010|0.005|0.010|0.018|0.000|0.050|0.000|0.010|0.000|1203.000|6.000|908.000|6.000|873.000|2.000,41,False,rmse_too_high,14.25,-3894.203561625945,22963.35312850292,0.4808444303775942,0,final_train
state_0.080|0.420|0.540|0.018|0.007|2.280|0.960|0.010|0.030|0.030|0.010|0.005|0.007|0.001|0.000|0.050|0.000|0.010|0.000|1173.000|1.200|905.000|1.250|923.000|1.500,32,False,rmse_too_high,20.0,-4660.570223825629,29059.844298679367,0.5680863202835803,0,final_train
state_0.120|0.390|0.520|0.020|0.018|2.240|0.970|0.010|0.025|0.040|0.010|0.005|0.010|0.006|0.000|0.050|0.000|0.010|0.000|1193.000|1.000|913.000|1.500|0.000|2.000,22,True,accepted,20.0,-5086.178167575547,29933.420802477296,0.2766431244571847,20,final_train
state_0.120|0.290|0.500|0.018|0.018|2.250|0.960|0.010|0.027|0.050|0.010|0.005|0.010|0.004|0.000|0.050|0.000|0.010|0.000|1193.000|1.000|913.000|1.500|0.000|2.000,26,True,accepted,20.5,-4641.006581076141,29604.653946333783,0.19753469599439258,20,final_train
state_0.120|0.290|0.430|0.013|0.012|2.280|0.970|0.010|0.036|0.070|0.010|0.005|0.009|0.008|0.000|0.050|0.000|0.010|0.000|1203.000|0.300|893.000|2.200|0.000|2.000,22,False,rmse_too_high,17.75,-5045.379719767078,27975.3142134083,0.4380598008858311,0,final_train
state_0.100|0.130|0.480|0.014|0.012|2.280|0.990|0.010|0.062|0.080|0.010|0.005|0.008|0.006|0.000|0.050|0.000|0.010|0.000|1203.000|0.300|893.000|2.200|0.000|2.000,21,False,rmse_too_high,19.5,-5141.4236819824755,29634.598551746094,0.4190399254141753,0,final_train
state_0.100|0.230|0.430|0.011|0.009|2.460|0.940|0.010|0.043|0.070|0.010|0.005|0.008|0.005|0.000|0.050|0.000|0.010|0.000|1203.000|0.300|893.000|2.200|0.000|2.000,43,True,accepted,19.0,-5005.102508643075,28850.761707336915,0.33861141768944736,20,final_train
state_0.100|0.350|0.500|0.010|0.008|2.250|1.040|0.010|0.096|0.040|0.010|0.005|0.008|0.004|0.000|0.050|0.000|0.010|0.000|1183.000|1.200|983.000|1.200|0.000|2.000,20,True,accepted,18.25,-4717.6999157349555,27723.72833483034,0.30650424648256963,20,final_train
